Date,low,mid,high
1928-01-03,0.6186949322834459,0.34940046040061634,0.03190460731593769
1928-01-04,0.744669100453754,0.24635115073327438,0.008979748812971249
1928-01-05,0.5830765887329086,0.4074039795442879,0.0095194317228035
1928-01-06,0.6636083808719331,0.3319764399224742,0.004415179205592645
1928-01-09,0.5237054061432053,0.47093563176065334,0.005358962096141422
1928-01-10,0.47771540587130157,0.5174187667331958,0.004865827395502884
1928-01-11,0.6347348260437252,0.36278821649444243,0.0024769574618325116
1928-01-12,0.6877699299489548,0.3101060585074614,0.0021240115435838093
1928-01-13,0.7502598475850525,0.248084803303634,0.0016553491113132346
1928-01-16,0.11104655847151841,0.873954579638609,0.014998861889872418
1928-01-17,0.22816006476969677,0.7645065697479058,0.007333365482397268
1928-01-18,0.3564247115117495,0.6390830851923202,0.004492203295930578
1928-01-19,0.4237420584218255,0.572292268257069,0.003965673321105392
1928-01-20,0.5297899228579215,0.4671565977485815,0.0030534793934970457
1928-01-23,0.49794015890375826,0.4982632881794441,0.003796552916797759
1928-01-24,0.6399329349044436,0.35776871749319744,0.0022983476023587875
1928-01-25,0.38697520766001314,0.6074901575785235,0.005534634761463209
1928-01-26,0.47763488386586,0.5184399498816243,0.003925166252515729
1928-01-27,0.6305780002401445,0.36710267743221753,0.0023193223276378808
1928-01-30,0.33808550019609235,0.6556768840897516,0.006237615714156158
1928-01-31,0.47372223066149394,0.5224834630427748,0.003794306295731152
1928-02-01,0.6133718914451154,0.3842601311817776,0.002367977373106948
1928-02-02,0.7026648012051705,0.2954931854799485,0.0018420133148808852
1928-02-03,0.2815511353398857,0.7104946246664205,0.007954239993693551
1928-02-06,0.440441215803739,0.5553451262711506,0.004213657925110265
1928-02-07,0.6068655995028859,0.3907365061513464,0.0023978943457674652
1928-02-08,0.7433177634616118,0.2552184912253344,0.0014637453130538756
1928-02-09,0.8360459495881013,0.1630278545331819,0.0009261958787169164
1928-02-10,0.8997773085867975,0.09967131740897442,0.0005513740042281589
1928-02-14,0.8973765688312418,0.10197504033173992,0.0006483908370182999
1928-02-15,0.9286247981834899,0.07095364686955562,0.00042155494695453387
1928-02-16,0.9448269218116839,0.05484718330475813,0.00032589488355776164
1928-02-17,0.2288879689165368,0.75567629828825,0.015435732795213875
1928-02-20,0.2823734548397722,0.7090138166238569,0.008612728536370766
1928-02-21,0.2565815799156619,0.7356988782046796,0.00771954187965848
1928-02-23,0.42201805567913847,0.5738619010518886,0.004120043268972831
1928-02-24,0.585497848039499,0.41198485493524784,0.002517297025253179
1928-02-27,0.6699006196310486,0.32812029400464027,0.001979086364310791
1928-02-28,0.7893740951167026,0.2094297165639651,0.0011961883193324023
1928-02-29,0.8395984483364373,0.15942395074338764,0.0009776009201752079
1928-03-01,0.9025434902025801,0.09690017790333373,0.0005563318940861504
1928-03-02,0.9389908104790177,0.06066933546571919,0.0003398540552632481
1928-03-05,0.6366850986780078,0.358589870518768,0.0047250308032244105
1928-03-06,0.7231197548609932,0.2744179417327461,0.0024623034062607385
1928-03-07,0.7600192656462009,0.2382181754219234,0.0017625589318757593
1928-03-08,0.8474445057529985,0.1516043278162791,0.0009511664307224189
1928-03-09,0.3560078219436245,0.6346786133373157,0.009313564719059999
1928-03-12,0.5064599587571699,0.48910307243514417,0.004436968807685676
1928-03-13,0.5879684249936312,0.4090625562376558,0.0029690187687130124
1928-03-14,0.7370197297309591,0.2614109366397378,0.0015693336293031363
1928-03-15,0.7508435110556044,0.24746462190187407,0.001691867042521672
1928-03-16,0.6533761798161309,0.34368127900537904,0.0029425411784901176
1928-03-19,0.741003168675135,0.25716782620783624,0.001829005117028493
1928-03-20,0.8096882508529202,0.1890723747762823,0.0012393743707975623
1928-03-21,0.7318097000569542,0.26598073406652506,0.002209565876520623
1928-03-22,0.8151521144322716,0.1836344948891856,0.0012133906785428473
1928-03-23,0.763317024733177,0.2348087010285513,0.0018742742382716847
1928-03-26,0.4078355152779007,0.5846564887422575,0.007507995979841434
1928-03-27,0.4441632650267223,0.550751005959703,0.00508572901357448
1928-03-28,0.5788170129648283,0.41827923934537287,0.0029037476897988456
1928-03-29,0.7185252915033509,0.2797789825377052,0.0016957259589440873
1928-03-30,0.1567073905038642,0.8298831059904995,0.01340950350563598
1928-04-02,0.002499078706940965,0.9594406604538006,0.03806026083925873
1928-04-03,0.037057619828298194,0.9442168367023379,0.01872554346936376
1928-04-04,0.102483267779537,0.8879936300831186,0.009523102137344367
1928-04-05,0.04988757358666649,0.9383077707907725,0.011804655622560974
1928-04-09,0.12985970921662987,0.8632244874514919,0.006915803331878079
1928-04-10,0.09451929048384226,0.8977356213064728,0.0077450882096848925
1928-04-11,0.008220966867658384,0.9726586033701844,0.019120429762157123
1928-04-12,0.05524264323899369,0.934795010383754,0.009962346377252195
1928-04-13,0.00878469427953587,0.9730577908689172,0.018157514851546992
1928-04-16,0.0524128338051309,0.9377626287982966,0.009824537396572224
1928-04-17,0.05319425956234543,0.9379739145907587,0.008831825846895552
1928-04-18,0.13556761515860632,0.8586111203095163,0.005821264531877396
1928-04-19,0.2154340071467388,0.7795470381252874,0.005018954727973916
1928-04-20,0.02601861164200839,0.9609032294245539,0.013078158933437896
1928-04-23,0.022963843638967082,0.9651548102360282,0.011881346125004705
1928-04-24,0.06986408309518852,0.9222646984508858,0.007871218453925688
1928-04-25,0.1477706575481294,0.8464722375699454,0.005757104881925465
1928-04-26,0.19484806666776838,0.799613818639963,0.005538114692268587
1928-04-27,0.1403486324956655,0.852205548516056,0.007445818988278461
