Date,RARP,RP_naive,VT_naive
2011-12-28,0.0,0.0,0.0
2011-12-29,0.0,0.0,0.0
2011-12-30,0.0,0.0,0.0
2012-01-03,0.0,0.0,0.0
2012-01-04,0.0,0.0,0.0
2012-01-05,0.0,0.0,0.0
2012-01-06,0.0,0.0,0.0
2012-01-09,0.0,0.0,0.0
2012-01-10,0.0,0.0,0.0
2012-01-11,0.0,0.0,0.0
2012-01-12,0.0,0.0,0.0
2012-01-13,0.0,0.0,0.0
2012-01-17,0.0,0.0,0.0
2012-01-18,0.0,0.0,0.0
2012-01-19,0.0,0.0,0.0
2012-01-20,0.0,0.0,0.0
2012-01-23,0.0,0.0,0.0
2012-01-24,0.0,0.0,0.0
2012-01-25,0.0,0.0,0.0
2012-01-26,0.0,0.0,0.0
2012-01-27,0.0,0.0,0.0
2012-01-30,0.0,0.0,0.0
2012-01-31,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0
2012-02-02,0.0,0.0,0.0
2012-02-03,0.0,0.0,0.0
2012-02-06,0.0,0.0,0.0
2012-02-07,0.0,0.0,0.0
2012-02-08,0.0,0.0,0.0
2012-02-09,0.0,0.0,0.0
2012-02-10,0.0,0.0,0.0
2012-02-13,0.0,0.0,0.0
2012-02-14,0.0,0.0,0.0
2012-02-15,0.0,0.0,0.0
2012-02-16,0.0,0.0,0.0
2012-02-17,0.0,0.0,0.0
2012-02-21,0.0,0.0,0.0
2012-02-22,0.0,0.0,0.0
2012-02-23,0.0,0.0,0.0
2012-02-24,0.0,0.0,0.0
2012-02-27,0.0,0.0,0.0
2012-02-28,0.0,0.0,0.0
2012-02-29,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0
2012-03-02,0.0,0.0,0.0
2012-03-05,0.0,0.0,0.0
2012-03-06,0.0,0.0,0.0
2012-03-07,0.0,0.0,0.0
2012-03-08,0.0,0.0,0.0
2012-03-09,0.0,0.0,0.0
2012-03-12,0.0,0.0,0.0
2012-03-13,0.0,0.0,0.0
2012-03-14,0.0,0.0,0.0
2012-03-15,0.0,0.0,0.0
2012-03-16,0.0,0.0,0.0
2012-03-19,0.0,0.0,0.0
2012-03-20,0.0,0.0,0.0
2012-03-21,0.0,0.0,0.0
2012-03-22,0.0,0.0,0.0
2012-03-23,0.0,0.0,0.0
2012-03-26,0.0,0.0,0.0
2012-03-27,0.0,0.0,0.0
2012-03-28,0.0,0.0,0.0
2012-03-29,0.0,0.0,0.0
2012-03-30,0.0,0.0,0.0
2012-04-02,0.0,0.0,0.0
2012-04-03,0.0,0.0,0.0
2012-04-04,0.0,0.0,0.0
2012-04-05,0.0,0.0,0.0
2012-04-09,0.0,0.0,0.0
2012-04-10,0.0,0.0,0.0
2012-04-11,0.0,0.0,0.0
2012-04-12,0.0,0.0,0.0
2012-04-13,0.0,0.0,0.0
2012-04-16,0.0,0.0,0.0
2012-04-17,0.0,0.0,0.0
2012-04-18,0.0,0.0,0.0
2012-04-19,0.0,0.0,0.0
2012-04-20,0.0,0.0,0.0
2012-04-23,0.0,0.0,0.0
2012-04-24,0.0,0.0,0.0
2012-04-25,0.0,0.0,0.0
2012-04-26,0.0,0.0,0.0
2012-04-27,0.0,0.0,0.0
2012-04-30,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0
2012-05-02,0.0,0.0,0.0
2012-05-03,0.0,0.0,0.0
2012-05-04,0.0,0.0,0.0
2012-05-07,0.0,0.0,0.0
2012-05-08,0.0,0.0,0.0
2012-05-09,0.0,0.0,0.0
2012-05-10,0.0,0.0,0.0
2012-05-11,0.0,0.0,0.0
2012-05-14,0.0,0.0,0.0
2012-05-15,0.0,0.0,0.0
2012-05-16,0.0,0.0,0.0
2012-05-17,0.0,0.0,0.0
2012-05-18,0.0,0.0,0.0
2012-05-21,0.0,0.0,0.0
2012-05-22,-0.0004,-0.0005,-0.0005
2012-05-23,0.0013538164116390307,0.0016922705145487882,0.0016922705145487882
2012-05-24,0.001103264126869874,0.0013790801585873425,0.0013790801585873425
2012-05-25,-0.0017343845622079359,-0.0021679807027599196,-0.0021679807027599196
2012-05-29,0.008814444223062169,0.01101805527882771,0.01101805527882771
2012-05-30,-0.011550903443837513,-0.01443862930479689,-0.01443862930479689
2012-05-31,-0.0018234088480348022,-0.0022792610600435026,-0.0022792610600435026
2012-06-01,-0.019961036331488914,-0.02495129541436114,-0.02495129541436114
2012-06-04,8.763855598985515e-05,9.877861867515263e-05,9.877861867515263e-05
2012-06-05,0.004568411675487738,0.00558419552294554,0.00558419552294554
2012-06-06,0.01823022083843853,0.02244682674510289,0.02244682674510289
2012-06-07,-8.517612813392362e-05,-0.00012471544755634202,-0.00012471544755634202
2012-06-08,0.0064651366399914425,0.00761195764369904,0.00761195764369904
2012-06-11,-0.010160339052320923,-0.011990785041493238,-0.011990785041493238
2012-06-12,0.009266711920992066,0.010889383845762355,0.010889383845762355
2012-06-13,-0.005638424056883196,-0.006607388567353223,-0.006607388567353223
2012-06-14,0.008605274119895511,0.009991902829101576,0.009991902829101576
2012-06-15,0.008227796521717323,0.009515244105419238,0.009515244105419238
2012-06-18,0.0011549631671485372,0.0013213888846556414,0.0013213888846556414
2012-06-19,0.007814267534089937,0.008894277289237883,0.008894277289237883
2012-06-20,-0.001350224410217038,-0.0015470693175896593,-0.0015470693175896593
2012-06-21,-0.018010566546701058,-0.020527415285942402,-0.020527415285942402
2012-06-22,0.005719191387603218,0.006502103631537338,0.006502103631537338
2012-06-25,-0.012866801912482373,-0.014147163853333658,-0.014147163853333658
