Date,low,high
2016-01-05,0.8807327067036564,0.11926729329634356
2016-01-06,0.6605495439531405,0.3394504560468595
2016-01-07,0.4954121579648554,0.5045878420351446
2016-01-08,0.3715623612118046,0.6284376387881954
2016-01-11,0.49389924990036727,0.5061007500996326
2016-01-12,0.37699983418274813,0.6230001658172517
2016-01-13,0.2827498756370611,0.7172501243629388
2016-01-14,0.21206240672780105,0.7879375932721989
2016-01-15,0.15904680504585078,0.8409531949541492
2016-01-19,0.3388510634375033,0.6611489365624967
2016-01-20,0.254138304620459,0.7458616953795411
2016-01-21,0.3014899099582855,0.6985100900417145
2016-01-22,0.22611743246871413,0.7738825675312859
2016-01-25,0.16958807435212336,0.8304119256478767
2016-01-26,0.12719105610365047,0.8728089438963496
2016-01-27,0.09539514841922823,0.9046048515807718
2016-01-28,0.20897369849509967,0.7910263015049003
2016-01-29,0.15673027387132477,0.8432697261286752
2016-02-01,0.3229955813913049,0.6770044186086951
2016-02-02,0.24224668604347868,0.7577533139565213
2016-02-03,0.28861700483134006,0.71138299516866
2016-02-04,0.4434339456280361,0.5565660543719639
2016-02-05,0.3325754592210271,0.667424540778973
2016-02-08,0.24943159507283502,0.750568404927165
2016-02-09,0.39585926138755656,0.6041407386124434
2016-02-10,0.520590255417087,0.479409744582913
2016-02-11,0.39044269383201097,0.6095573061679891
2016-02-12,0.29283202037400824,0.7071679796259918
2016-02-16,0.21962401528050646,0.7803759847194934
2016-02-17,0.1647180114603966,0.8352819885396033
2016-02-18,0.33383288153329704,0.666167118466703
2016-02-19,0.46984885965184553,0.5301511403481545
2016-02-22,0.35238664477675485,0.6476133552232451
2016-02-23,0.26429000554553095,0.7357099944544692
2016-02-24,0.39517747601936876,0.6048225239806314
2016-02-25,0.2963832390051728,0.7036167609948274
2016-02-26,0.4483779149733928,0.5516220850266074
2016-02-29,0.3454456212346078,0.6545543787653922
2016-03-01,0.2590842159259559,0.7409157840740441
2016-03-02,0.394807908916763,0.605192091083237
2016-03-03,0.5094200569567187,0.49057994304328134
2016-03-04,0.6040151967736649,0.3959848032263351
2016-03-07,0.675443734472513,0.324556265527487
2016-03-08,0.5065850869729194,0.49341491302708074
2016-03-09,0.5468038160584089,0.45319618394159117
2016-03-10,0.6318226522185488,0.3681773477814511
2016-03-11,0.4738669891639149,0.526133010836085
2016-03-14,0.5797646675571514,0.42023533244284844
2016-03-15,0.6622620786027424,0.3377379213972575
2016-03-16,0.5860198383760935,0.4139801616239065
2016-03-17,0.5283324172872521,0.4716675827127479
2016-03-18,0.6009641624327278,0.39903583756727223
2016-03-21,0.6769731975569901,0.3230268024430099
2016-03-22,0.7265489297733608,0.27345107022663917
2016-03-23,0.5874091437465581,0.41259085625344194
2016-03-24,0.6561555893165084,0.3438444106834916
2016-03-28,0.712013379110452,0.28798662088954796
2016-03-29,0.5342044501689835,0.46579554983101645
2016-03-30,0.5995150568104117,0.4004849431895882
2016-03-31,0.6767165114553522,0.32328348854464783
2016-04-01,0.5758712412780552,0.4241287587219448
2016-04-04,0.650159187585795,0.34984081241420495
2016-04-05,0.48780419062795544,0.5121958093720446
2016-04-06,0.36587014020806224,0.6341298597919378
2016-04-07,0.2744029943669968,0.7255970056330033
2016-04-08,0.4261089305498993,0.5738910694501007
2016-04-11,0.5487208169334544,0.4512791830665456
2016-04-12,0.41246706537280425,0.5875329346271958
2016-04-13,0.3094242259967502,0.6905757740032499
2016-04-14,0.4394514449011805,0.5605485550988196
2016-04-15,0.5570970184136221,0.442902981586378
2016-04-18,0.46106653934869457,0.5389334606513055
2016-04-19,0.5661822690382724,0.4338177309617277
2016-04-20,0.6508161735522189,0.34918382644778123
2016-04-21,0.6652602821925941,0.3347397178074059
2016-04-22,0.7144393358480923,0.28556066415190773
2016-04-25,0.7654968196964427,0.23450318030355735
2016-04-26,0.803813873460818,0.19618612653918188
2016-04-27,0.8329869914157293,0.1670130085842706
2016-04-28,0.6265075129501512,0.3734924870498488
2016-04-29,0.5152816308178128,0.4847183691821872
2016-05-02,0.3866843543251283,0.6133156456748716
2016-05-03,0.2900286816890594,0.7099713183109405
2016-05-04,0.29669565573113366,0.7033043442688662
2016-05-05,0.4327622447340468,0.5672377552659532
2016-05-06,0.5289028193105896,0.4710971806894105
2016-05-09,0.6176618315671306,0.38233816843286944
2016-05-10,0.4632463737016621,0.5367536262983379
2016-05-11,0.3474379690745163,0.6525620309254837
2016-05-12,0.473921721733856,0.526078278266144
2016-05-13,0.3554959248533397,0.6445040751466603
2016-05-16,0.26662372558424247,0.7333762744157575
2016-05-17,0.19997743153773,0.8000225684622699
2016-05-18,0.3621470668985182,0.6378529331014817
2016-05-19,0.472540274889973,0.5274597251100269
2016-05-20,0.3719154119685993,0.6280845880314007
2016-05-23,0.5018094490331713,0.4981905509668287
2016-05-24,0.37635708677874075,0.6236429132212592
2016-05-25,0.2901109198866415,0.7098890801133584
2016-05-26,0.43004851917196757,0.5699514808280324
2016-05-27,0.5172027257688225,0.48279727423117735
2016-05-31,0.6107871030612722,0.3892128969387278
2016-06-01,0.6812499911657942,0.31875000883420573
2016-06-02,0.7237727848226484,0.2762272151773516
2016-06-03,0.7561534587723022,0.24384654122769778
2016-06-06,0.7001354776278597,0.29986452237214034
2016-06-07,0.7466063990679342,0.25339360093206575
2016-06-08,0.7731716687596292,0.22682833124037086
2016-06-09,0.8026282290464656,0.19737177095353448
2016-06-10,0.6020234854444836,0.3979765145555164
2016-06-13,0.4577341243074573,0.5422658756925427
2016-06-14,0.5615956391856842,0.4384043608143158
