Date,low,high
2016-01-05,0.9830797264546494,0.016920273545350622
2016-01-06,0.9797012636664716,0.02029873633352839
2016-01-07,0.8629131725684436,0.13708682743155642
2016-01-08,0.7890948005890054,0.21090519941099456
2016-01-11,0.7931803059011588,0.2068196940988412
2016-01-12,0.8193200216522415,0.1806799783477585
2016-01-13,0.6640077135394801,0.33599228646051993
2016-01-14,0.5478441593925347,0.4521558406074653
2016-01-15,0.4192575848995256,0.5807424151004744
2016-01-19,0.3951321941497581,0.6048678058502419
2016-01-20,0.3781057652580605,0.6218942347419395
2016-01-21,0.4356316431405681,0.5643683568594319
2016-01-22,0.40443975477567357,0.5955602452243265
2016-01-25,0.36075929303253024,0.6392407069674698
2016-01-26,0.3479826460820137,0.6520173539179863
2016-01-27,0.35737748745272735,0.6426225125472727
2016-01-28,0.4332103606533231,0.5667896393466769
2016-01-29,0.36475011371801525,0.6352498862819849
2016-02-01,0.39284216962051166,0.6071578303794885
2016-02-02,0.34655583403398044,0.6534441659660196
2016-02-03,0.2703048471644115,0.7296951528355886
2016-02-04,0.23186764374892735,0.7681323562510727
2016-02-05,0.17679026804274792,0.8232097319572521
2016-02-08,0.1353256471852578,0.8646743528147423
2016-02-09,0.11584921481035287,0.8841507851896472
2016-02-10,0.12216532311654117,0.877834676883459
2016-02-11,0.10884357451809096,0.8911564254819091
2016-02-12,0.08424668579785295,0.9157533142021471
2016-02-16,0.06535146535969687,0.9346485346403032
2016-02-17,0.0514973393844706,0.9485026606155293
2016-02-18,0.050098273333024586,0.9499017266669754
2016-02-19,0.06808283560773135,0.9319171643922687
2016-02-22,0.0713412940410598,0.9286587059589403
2016-02-23,0.06540456397622019,0.9345954360237799
2016-02-24,0.07886209375285477,0.9211379062471453
2016-02-25,0.08808570851855797,0.9119142914814421
2016-02-26,0.12240644579927698,0.877593554200723
2016-02-29,0.15590409868796617,0.8440959013120338
2016-03-01,0.12055942890179629,0.8794405710982037
2016-03-02,0.1056534759296911,0.894346524070309
2016-03-03,0.10408340008092644,0.8959165999190737
2016-03-04,0.12630157024957195,0.8736984297504282
2016-03-07,0.17895116701968272,0.8210488329803174
2016-03-08,0.2030133564359183,0.7969866435640818
2016-03-09,0.25458065183005796,0.7454193481699422
2016-03-10,0.33725624134185805,0.6627437586581421
2016-03-11,0.33659629581697376,0.6634037041830263
2016-03-14,0.377441075581221,0.622558924418779
2016-03-15,0.4475217204809895,0.5524782795190105
2016-03-16,0.5244160817514426,0.4755839182485574
2016-03-17,0.6006836387466303,0.39931636125336967
2016-03-18,0.6741208839849282,0.3258791160150718
2016-03-21,0.740143600287471,0.25985639971252905
2016-03-22,0.7954074936684599,0.20459250633154008
2016-03-23,0.8366445638797693,0.16335543612023065
2016-03-24,0.8706703259477292,0.12932967405227072
2016-03-28,0.897824298590266,0.1021757014097339
2016-03-29,0.9159228585830024,0.08407714141699749
2016-03-30,0.9309481460049032,0.06905185399509683
2016-03-31,0.94311033457337,0.05688966542662993
2016-04-01,0.9517489817742107,0.04825101822578926
2016-04-04,0.9583624145288784,0.041637585471121695
2016-04-05,0.9560308485737198,0.04396915142628025
2016-04-06,0.9504580719901183,0.04954192800988162
2016-04-07,0.9234077250993197,0.07659227490068032
2016-04-08,0.9206508048767867,0.07934919512321323
2016-04-11,0.9265944085612468,0.07340559143875322
2016-04-12,0.9306471923719657,0.06935280762803432
2016-04-13,0.9313709272759376,0.06862907272406231
2016-04-14,0.9386089977034129,0.06139100229658706
2016-04-15,0.947048119229668,0.05295188077033193
2016-04-18,0.9534044225789404,0.046595577421059575
2016-04-19,0.9597532909765101,0.04024670902348984
2016-04-20,0.9653841486478651,0.03461585135213472
2016-04-21,0.9683463193377165,0.031653680662283405
2016-04-22,0.9715855334108556,0.02841446658914422
2016-04-25,0.9742239500230065,0.025776049976993357
2016-04-26,0.9766275936699974,0.02337240633000257
2016-04-27,0.9786104210638573,0.0213895789361427
2016-04-28,0.974963462347551,0.025036537652448947
2016-04-29,0.97224424690101,0.02775575309899005
2016-05-02,0.970096789753551,0.029903210246449118
2016-05-03,0.963364713425878,0.036635286574122045
2016-05-04,0.9602655497178585,0.039734450282141676
2016-05-05,0.9621998632266918,0.03780013677330827
2016-05-06,0.9656090611660071,0.034390938833992975
2016-05-09,0.9693265579450183,0.030673442054981702
2016-05-10,0.9656335221868936,0.03436647781310648
2016-05-11,0.9563532976675778,0.043646702332422176
2016-05-12,0.9565440266488461,0.043455973351153906
2016-05-13,0.9523583308832213,0.047641669116778765
2016-05-16,0.948402339838551,0.051597660161448886
2016-05-17,0.9395275145138413,0.060472485486158634
2016-05-18,0.9419300430870076,0.058069956912992354
2016-05-19,0.9467556063655789,0.05324439363442116
2016-05-20,0.9519505244270049,0.04804947557299516
2016-05-23,0.9577799660324033,0.04222003396759671
2016-05-24,0.9544676436865746,0.045532356313425434
2016-05-25,0.9549464466266375,0.04505355337336243
2016-05-26,0.958946101002968,0.041053898997032025
2016-05-27,0.9634856739182143,0.03651432608178573
2016-05-31,0.9675894268836758,0.0324105731163242
2016-06-01,0.9712970416628977,0.02870295833710233
2016-06-02,0.9742712520079073,0.025728747992092574
2016-06-03,0.9760722841591619,0.02392771584083802
2016-06-06,0.9773328175394415,0.022667182460558502
2016-06-07,0.9787636477313968,0.021236352268603192
2016-06-08,0.9799527178282303,0.020047282171769636
2016-06-09,0.9808149483591007,0.019185051640899294
2016-06-10,0.9756231182485081,0.024376881751491872
2016-06-13,0.9695599189327816,0.03044008106721842
2016-06-14,0.968710812037436,0.03128918796256392
