Date,_GSPC
2012-11-23,0.9369880126888518
2012-11-26,0.9698371324877878
2012-11-27,0.9697615990653639
2012-11-28,0.9702221051747106
2012-11-29,0.9675617115634574
2012-11-30,0.9741888700325833
2012-12-03,0.9745397075421857
2012-12-04,0.9784235600965134
2012-12-05,0.9780448846823371
2012-12-06,0.9804690144244571
2012-12-07,1.0
2012-12-10,1.0
2012-12-11,1.0
2012-12-12,1.0
2012-12-13,1.0
2012-12-14,1.0
2012-12-17,1.0
2012-12-18,1.0
2012-12-19,1.0
2012-12-20,1.0
2012-12-21,1.0
2012-12-24,1.0
2012-12-26,1.0
2012-12-27,1.0
2012-12-28,1.0
2012-12-31,1.0
2013-01-02,1.0
2013-01-03,0.9888065426694053
2013-01-04,0.988276246464057
2013-01-07,0.9866050450299584
2013-01-08,0.9858046908242655
2013-01-09,0.9849170647190342
2013-01-10,0.9845052971750529
2013-01-11,0.9802778924183282
2013-01-14,0.9839595375282579
2013-01-15,0.9840029357716317
2013-01-16,0.9839673175899913
2013-01-17,0.9852454700623137
2013-01-18,0.9829820676835954
2013-01-22,0.9885865615588982
2013-01-23,0.9902621267498088
2013-01-24,0.9902834991986819
2013-01-25,0.9904214968276099
2013-01-28,0.9884382793129552
2013-01-29,0.9941151444861718
2013-01-30,0.9940903885156791
2013-01-31,0.9925622391027873
2013-02-01,0.9919211516852432
2013-02-04,1.0
2013-02-05,1.0
2013-02-06,1.0
2013-02-07,1.0
2013-02-08,1.0
2013-02-11,1.0
2013-02-12,1.0
2013-02-13,1.0
2013-02-14,1.0
2013-02-15,1.0
2013-02-19,1.0
2013-02-20,1.0
2013-02-21,1.0
2013-02-22,1.0
2013-02-25,1.0
2013-02-26,0.9855788635021064
2013-02-27,0.9847362441851248
2013-02-28,0.9727837609165569
2013-03-01,0.972650788712226
2013-03-04,0.9731806730339351
2013-03-05,0.9754451531500508
2013-03-06,0.9688550598520353
2013-03-07,0.9701278031046683
2013-03-08,0.9791551392947382
2013-03-11,0.9820209414430319
2013-03-12,0.9815574773832738
2013-03-13,0.9818894877730916
2013-03-14,0.9862914559464152
2013-03-15,0.9919635408146166
2013-03-18,0.9925125699132414
2013-03-19,0.9900572549079665
2013-03-20,1.0
2013-03-21,1.0
2013-03-22,1.0
2013-03-25,1.0
2013-03-26,1.0
2013-03-27,1.0
2013-03-28,1.0
2013-04-01,1.0
2013-04-02,1.0
2013-04-03,1.0
2013-04-04,1.0
2013-04-05,1.0
2013-04-08,1.0
2013-04-09,1.0
2013-04-10,1.0
2013-04-11,1.0
2013-04-12,1.0
2013-04-15,1.0
2013-04-16,1.0
2013-04-17,1.0
2013-04-18,1.0
2013-04-19,1.0
2013-04-22,1.0
2013-04-23,1.0
2013-04-24,1.0
2013-04-25,1.0
2013-04-26,1.0
2013-04-29,1.0
2013-04-30,1.0
2013-05-01,1.0
2013-05-02,1.0
2013-05-03,1.0
2013-05-06,1.0
2013-05-07,1.0
2013-05-08,1.0
2013-05-09,1.0
2013-05-10,1.0
2013-05-13,1.0
2013-05-14,1.0
2013-05-15,1.0
2013-05-16,1.0
2013-05-17,1.0
2013-05-20,1.0
2013-05-21,1.0
2013-05-22,1.0
2013-05-23,1.0
