Date,RARP_RI,RP_naive,VT_naive
2013-06-18,0.00034338610694632733,-4.763576958720782e-05,1.003826125206252e-05
2013-06-19,-0.0022846206362275557,-0.0012042897135229429,-0.0011644297094156725
2013-06-20,-0.0030637813364536278,-0.001840717650818728,-0.0016036567040516887
2013-06-21,-0.0002874678889506585,-3.319538149890675e-05,-8.628015311044119e-05
2013-06-24,-0.0010870001102034927,-0.00045772278332146404,-0.0004680966085920126
2013-06-25,0.00045593900548927086,0.00011006310555414223,0.00011441937078807198
2013-06-26,0.00019870710195497832,-0.00011976577587464684,-0.00012719146756407862
2013-06-27,0.0002558256612846286,-8.88594744078752e-05,-9.091356232126689e-05
2013-06-28,0.0004317789594790975,0.00035532883361236455,0.00037843429543016875
2013-07-01,0.0003591446573004425,0.0002892858629650047,0.0003275210387587903
2013-07-02,-0.00033229887843432877,-0.00030334412353683364,-0.00031139136470612907
2013-07-03,0.0001215190444326231,0.00017749587019331715,0.00020930846019197034
2013-07-05,-0.0012165779109693509,-0.0008573026014284342,-0.0006926276271568255
2013-07-08,0.0006706510732420767,0.00014397292876237264,4.3842105831185874e-05
2013-07-09,0.000598546573883084,0.00027831712750858896,0.0003165481260007943
2013-07-10,-0.00016518349463082489,-6.309321221235106e-05,-9.040036242187661e-05
2013-07-11,0.001680778589757175,0.0007600581290587281,0.000927931136387462
2013-07-12,-4.460801421664078e-05,-1.7611745882265204e-05,-2.9537159315994833e-05
2013-07-15,0.00036965003882841196,0.0001589042863282574,0.00019477127746623144
2013-07-16,-8.858692076665442e-05,6.091688397667625e-06,7.125353940502561e-06
2013-07-17,0.00018816179913107496,5.566972151562665e-05,6.490222455710738e-05
2013-07-18,0.00031228132044033657,0.00022250914864893655,0.00022128719982286547
2013-07-19,0.0005558199172333878,0.00029441471147774055,0.00034243605664823217
2013-07-22,0.0005506655001143846,0.00030921984556141305,0.000373642284658164
2013-07-23,-0.00011866502971531912,-2.0904278585712267e-05,-1.932977892766238e-05
2013-07-24,-0.0008200355638295768,-0.00033888274978509673,-0.00031202316910601487
2013-07-25,6.640999290610377e-05,-0.00019717390544190258,-0.00020764220303401743
2013-07-26,0.00033456662448955643,0.00028264778416110705,0.00028028595970611776
2013-07-29,-0.0004165358798638914,-0.0002063701697407921,-0.0001857867329248287
2013-07-30,-0.00026879496247844746,-0.0002691043703375276,-0.0002568099746564569
2013-07-31,0.00027240709923316293,0.0002430934156937801,0.0002443787810616073
2013-08-01,-0.00016763276634185052,-0.00047853826651607877,-0.00038671015047842883
2013-08-02,0.000925926208465936,0.000626826513103206,0.0005635216864639089
2013-08-05,-0.0005090943554363274,-0.00030691902773516736,-0.00023577773387979485
2013-08-06,-0.0005717283554746407,-0.00032041955554030816,-0.00031798712993206477
