Date,RARP_fast_v2,RP_naive,VT_naive
2016-01-05,0.0,0.0,0.0
2016-01-06,0.0,0.0,0.0
2016-01-07,0.0,0.0,0.0
2016-01-08,0.0,0.0,0.0
2016-01-11,0.0,0.0,0.0
2016-01-12,0.0,0.0,0.0
2016-01-13,0.0,0.0,0.0
2016-01-14,0.0,0.0,0.0
2016-01-15,0.0,0.0,0.0
2016-01-19,0.0,0.0,0.0
2016-01-20,0.0,0.0,0.0
2016-01-21,0.0,0.0,0.0
2016-01-22,0.0,0.0,0.0
2016-01-25,0.0,0.0,0.0
2016-01-26,0.0,0.0,0.0
2016-01-27,0.0,0.0,0.0
2016-01-28,0.0,0.0,0.0
2016-01-29,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-02-02,0.0,0.0,0.0
2016-02-03,0.0,0.0,0.0
2016-02-04,0.0,0.0,0.0
2016-02-05,0.0,0.0,0.0
2016-02-08,0.0,0.0,0.0
2016-02-09,0.0,0.0,0.0
2016-02-10,0.0,0.0,0.0
2016-02-11,0.0,0.0,0.0
2016-02-12,0.0,0.0,0.0
2016-02-16,0.0,0.0,0.0
2016-02-17,0.0,0.0,0.0
2016-02-18,0.0,0.0,0.0
2016-02-19,0.0,0.0,0.0
2016-02-22,0.0,0.0,0.0
2016-02-23,0.0,0.0,0.0
2016-02-24,0.0,0.0,0.0
2016-02-25,0.0,0.0,0.0
2016-02-26,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-03-02,0.0,0.0,0.0
2016-03-03,0.0,0.0,0.0
2016-03-04,0.0,0.0,0.0
2016-03-07,0.0,0.0,0.0
2016-03-08,0.0,0.0,0.0
2016-03-09,0.0,0.0,0.0
2016-03-10,0.0,0.0,0.0
2016-03-11,0.0,0.0,0.0
2016-03-14,0.0,0.0,0.0
2016-03-15,0.0,0.0,0.0
2016-03-16,0.0,0.0,0.0
2016-03-17,0.0,0.0,0.0
2016-03-18,0.0,0.0,0.0
2016-03-21,0.0,0.0,0.0
2016-03-22,0.0,0.0,0.0
2016-03-23,0.0,0.0,0.0
2016-03-24,0.0,0.0,0.0
2016-03-28,0.0,0.0,0.0
2016-03-29,0.0,0.0,0.0
2016-03-30,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0
2016-04-01,-0.0004952373161481181,-0.0005,-0.0004999999999999999
2016-04-04,-0.0001541396464703295,-0.00012544312950813372,-0.00010958414438386587
2016-04-05,0.0007643644324249103,0.0006120415102495041,0.0004643157665023041
2016-04-06,-0.0001336024304408829,-0.00012442543721265443,-4.2427009918694926e-05
2016-04-07,0.0005358020575952553,0.00029942047444022664,0.00011188295374108567
2016-04-08,2.9480807659115716e-05,0.00010239963290296436,0.00014446884752884496
2016-04-11,7.941983924494877e-05,3.609467284255264e-05,-3.8664712680118934e-05
2016-04-12,-0.0002610418674055235,-0.00015029153381670556,-6.817019334865116e-05
2016-04-13,0.0003031882738011781,0.0001829255755670688,0.00023793879778691746
2016-04-14,-0.0006755873975790854,-0.0004623767695520648,-0.00034458887587979404
2016-04-15,0.0003648832269465574,0.00014506326602777117,4.713598843752637e-05
2016-04-18,0.0002389465001641884,0.00021056348274865435,0.00024864011237276144
2016-04-19,0.0002860545911434883,0.00025297779565489997,0.00020422293330219749
2016-04-20,-0.0007166310899605712,-0.0004374544186533502,-0.000322410989028433
2016-04-21,-0.00046302969804071594,-0.0003259878700309063,-0.0003249247164569403
2016-04-22,-0.00030513951988006695,-0.00015660387217524536,-6.268361755791145e-05
2016-04-25,-0.0003111824868852211,-0.0002506806703481303,-0.00025078174994373
2016-04-26,5.184103548354081e-05,0.00014791017918592883,0.00017246772994545113
2016-04-27,0.0008855876393862113,0.0005121902249007398,0.00039344860511332616
2016-04-28,0.0006174454442543129,0.00047879026992765693,0.00031021165948039175
2016-04-29,0.0004560698215684564,0.0004820406139422941,0.00038483152058986465
2016-05-02,-0.0003097979480142455,-0.00030145941840049124,-0.00023065935795112445
2016-05-03,0.0004960006573208118,0.0003700094947995553,0.00027695034589901525
2016-05-04,-0.0003182569159266369,-0.00031325718852814524,-0.00032309504169185583
2016-05-05,0.0003498573998125864,0.0001883959200390669,0.00014000468671594861
2016-05-06,0.00023991860596892387,0.00028980770043692244,0.00029389971968889737
2016-05-09,-0.0002958353088891892,-0.00030051851333414716,-0.0002182886574479221
2016-05-10,0.0005588685299903527,0.00032107892183399876,0.00031734021089737876
2016-05-11,-0.000264381548253766,-0.00027462889051840095,-0.00037545381793297557
2016-05-12,-0.0005847376791766063,-0.00037851235620488363,-0.0002800623064955299
2016-05-13,0.0002797498709829297,0.00018636838234970145,8.309394549592668e-05
2016-05-16,-0.00017246763313762267,-7.441017416874822e-05,1.802272268548406e-05
2016-05-17,-0.0004752341747722743,-0.0002647414088772097,-0.00026917797126840034
2016-05-18,-0.0015121329471704742,-0.00089752112330699,-0.0006193833937651924
2016-05-19,-0.0002621203029883898,-0.00026206384755750214,-0.0002769785594747342
2016-05-20,0.00045533443949244336,0.0003552408461287343,0.00036823501436022055
2016-05-23,0.00014457145152711943,0.0001558543842198986,0.00016187337622444248
2016-05-24,-0.0006064276791552032,-0.0006320589416685834,-0.0004845229295051105
2016-05-25,0.0002890429851257395,0.00025095066613511246,0.00029257399982012217
2016-05-26,0.00033478145524586144,0.00016816241951101324,0.00012894535421799328
2016-05-27,-0.0002050710542712292,-7.269622807811478e-05,3.1847249055862626e-05
2016-05-31,0.00021067775358655377,0.00015143855066752454,0.00011468030710299789
