Date,low,mid,high
1928-01-03,0.5806175961796242,0.41667348013729555,0.0027089236830748335
1928-01-04,0.5736820177461481,0.4250714358399376,0.0012465464139091854
1928-01-05,0.5525012580208521,0.44673423068441115,0.0007645112947317449
1928-01-06,0.5488868453265255,0.45064529307152934,0.0004678616019401393
1928-01-09,0.5373881023568736,0.4622330335215348,0.00037886412158692534
1928-01-10,0.5385734715604185,0.46112985072200363,0.0002966777175730694
1928-01-11,0.543900684017662,0.4558619193111359,0.00023739667119719333
1928-01-12,0.5353258563060823,0.46441245820367694,0.00026168549023591827
1928-01-13,0.5204378257882997,0.47924698971241136,0.0003151844992840344
1928-01-16,0.4954868129891444,0.504054987572507,0.00045819943834386555
1928-01-17,0.5865955637507799,0.413166806666384,0.00023762958283130015
1928-01-18,0.6307775222145116,0.3690504889379535,0.00017198884753012267
1928-01-19,0.6535748713700674,0.34626289709692143,0.00016223153300610723
1928-01-20,0.6694974413811388,0.3303459724499791,0.00015658616887721596
1928-01-23,0.6761386458577096,0.32369199340128496,0.00016936074100063636
1928-01-24,0.6858545038180806,0.31398865796838504,0.00015683821352934911
1928-01-25,0.6838616701444601,0.3159521951100279,0.0001861347455070849
1928-01-26,0.7054397162825461,0.29441124796735035,0.00014903575009870602
1928-01-27,0.7183420044926241,0.2815226408534796,0.00013535465389147088
1928-01-30,0.7187675295657431,0.28107330221719884,0.00015916821705310732
1928-01-31,0.7490991775392732,0.25078511930954483,0.00011570315117685821
1928-02-01,0.7643551882321491,0.23554289195941724,0.00010191980842871366
1928-02-02,0.7684177063535534,0.2314708671109409,0.00011142653550062668
1928-02-03,0.7652990300082615,0.23456497453876432,0.000135995452969422
1928-02-06,0.8094462760710474,0.19047119830904694,8.2525619900676e-05
1928-02-07,0.8308951055019537,0.16904073115617596,6.416334186542373e-05
1928-02-08,0.8386241246600868,0.16131567880324163,6.0196536666716726e-05
1928-02-09,0.8363539570394609,0.16358337816507665,6.266479545786117e-05
1928-02-10,0.8237283771768378,0.17620072785513685,7.089496802080742e-05
1928-02-14,0.7943247064782105,0.205577962524163,9.733099762188811e-05
1928-02-15,0.7604924041904333,0.2393829628121149,0.00012463299744736874
1928-02-16,0.6993306479943228,0.30045423469095617,0.0002151173147164976
1928-02-17,0.5967288313443334,0.40277220216856346,0.0004989664870984206
1928-02-20,0.641056487885789,0.3586697386086056,0.00027377350560066913
1928-02-21,0.6764663682941757,0.3233436196335983,0.00019001207222115108
1928-02-23,0.7203313411422908,0.2795453381879442,0.0001233206697602644
1928-02-24,0.7396292534641216,0.2602668770751,0.00010386946077360222
1928-02-27,0.7447763424105197,0.2551216734038772,0.00010198418559821826
1928-02-28,0.7432153677566736,0.25668204014929674,0.00010259209402477937
1928-02-29,0.728732512372239,0.27114954945286524,0.00011793817489087513
1928-03-01,0.7036147805184895,0.29625000507608334,0.00013521440542247802
1928-03-02,0.6503044111314529,0.34949393691612946,0.0002016519524128611
1928-03-05,0.5430273344692423,0.45654251687480896,0.00043014865594381737
1928-03-06,0.5340723583648009,0.4656153558314574,0.0003122858037367753
1928-03-07,0.5143213309966945,0.48538740868264585,0.0002912603206546986
1928-03-08,0.48712207090147264,0.5125424953724476,0.00033543372607482385
1928-03-09,0.4317506571373718,0.5676947352732011,0.0005546075894220165
1928-03-12,0.4435430578851909,0.5561090669448674,0.00034787516993657245
1928-03-13,0.44210027226314735,0.557617063043743,0.0002826646931044211
1928-03-14,0.4332732843408564,0.5664623411023374,0.0002643745568010448
1928-03-15,0.4048480430440009,0.5948255745298786,0.0003263824261150474
1928-03-16,0.37175325684369775,0.6278596283454763,0.00038711481082045535
1928-03-19,0.3523474159620327,0.6473065990148454,0.00034598502311667913
1928-03-20,0.31773077831661206,0.6819000141988041,0.00036920748457843486
1928-03-21,0.26079732429757163,0.7387284512568643,0.00047422444555898216
1928-03-22,0.22208810029890366,0.7774344046499736,0.0004774950511176868
1928-03-23,0.15384764084113509,0.8454692520314703,0.0006831071273897968
1928-03-26,0.09955476950147159,0.8995336985838938,0.0009115319146296933
1928-03-27,0.08998269771277959,0.909282580134693,0.000734722152522171
1928-03-28,0.0775418792180409,0.9216891551783583,0.000768965603595727
1928-03-29,0.05290167020090513,0.9459070420408981,0.0011912877581916758
1928-03-30,0.004232453258795813,0.9932423250130881,0.0025252217281111775
1928-04-02,0.0005329917322135392,0.9965664882660896,0.002900520001691854
1928-04-03,0.004856954139085772,0.9936240319544941,0.0015190139064152775
1928-04-04,0.006538524200063079,0.9924569063437564,0.0010045694561758177
1928-04-05,0.005117414897550642,0.9938524606128337,0.001030124489610756
1928-04-09,0.0058698219314882024,0.9932623189110579,0.0008678591574489104
1928-04-10,0.0033306219559746286,0.9955273038059604,0.0011420742380596526
1928-04-11,0.0015077305197175508,0.9968834354328807,0.001608834047396329
1928-04-12,0.005093196916016508,0.9937598777013316,0.001146925382646613
1928-04-13,0.005488813771633214,0.9932093631428317,0.0013018230855294985
1928-04-16,0.019245984239696198,0.9799673476235113,0.0007866681367869038
1928-04-17,0.025851313615047136,0.9734821260866681,0.0006665602982793797
1928-04-18,0.03509571740036262,0.9643465560285595,0.0005577265710724798
1928-04-19,0.036869874603913125,0.9624641905142507,0.0006659348818306741
1928-04-20,0.0342602300355504,0.9647539968212875,0.000985773143156709
1928-04-23,0.06327434306778892,0.9359793752873402,0.000746281644865418
1928-04-24,0.12542436844349128,0.8740713112775624,0.0005043202789411032
1928-04-25,0.16297172868838547,0.83660955949626,0.00041871181534897247
